artist,song,duration_ms,year,popularity,loudness,speechiness,acousticness,instrumentalness,tempo,genre
Céline Dion,A New Day Has Come - Radio Remix,259773,2001,59,-5.103,0.035,0.0826,0.0000165,91.969,pop
Scooter,Nessaja,208449,2013,47,-6.642,0.0364,0.000748,0.0984,143.048,pop; Dance/Electronic
Eve,Gangsta Lovin',239266,2002,58,-3.523,0.0608,0.0619,0,94.332,hip hop; pop; R&B
Disturbing Tha Peace,Move Bitch,272293,2002,59,-5.692,0.133,0.245,0,177.894,hip hop; pop
Khia,My Neck; My Back (Lick It),222560,2015,59,-4.234,0.13,0.0296,0,102.072,pop; R&B
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,2002,64,-8.786,0.29,0.233,0.00669,159.963,hip hop; pop; R&B
Kylie Minogue,Spinning Around,207866,2000,55,-7.645,0.0548,0.292,0.0000619,120.043,pop; Dance/Electronic
Nelly,Hot In Herre,228240,2002,75,-4.753,0.12,0.206,0,107.075,hip hop; pop; R&B
Gareth Gates,Anyone of Us (Stupid Mistake),227866,2003,53,-6.061,0.0261,0.285,0,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),298853,2002,68,-3.073,0.322,0.107,0,99.931,pop
B2K,Uh Huh,223293,2002,49,-4.955,0.0688,0.0881,0.0000037,99.699,hip hop; pop; R&B
Sugababes,Freak Like Me,195866,2002,45,-3.451,0.0925,0.0996,0.00000181,91.868,pop; R&B
Dirty Vegas,Days Go By,432146,2002,48,-8.274,0.0688,0.0499,0.0872,126.99,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,2001,73,-5.074,0.0598,0.0219,0.0000219,93.955,hip hop; pop
Liberty X,Just A Little,237359,2019,43,-6.554,0.0574,0.00616,0,103.887,pop
No Doubt,Hella Good,242586,2001,26,-3.954,0.035,0.0135,0.0123,115.142,rock; pop
LL Cool J,Luv U Better,287000,2002,2,-3.9,0.239,0.232,0,95.022,hip hop; pop; R&B
Red Hot Chili Peppers,Can't Stop,269000,2002,80,-3.442,0.0456,0.0179,0,91.455,rock
Musiq Soulchild,Halfcrazy,254493,2002,58,-6.057,0.18,0.462,0.0000015,101.955,pop; R&B
Sean Paul,Gimme the Light,228000,2002,59,-5.529,0.0525,0.141,0.0000461,107.288,hip hop; pop
Faith Evans,I Love You,267160,2001,53,-4.062,0.0926,0.00981,0,168.004,hip hop; pop; R&B
Charli Baltimore,Down 4 U,318213,2002,47,-7.442,0.32,0.252,0,83.133,pop
Kylie Minogue,Love at First Sight,238266,2001,55,-6.066,0.0428,0.0288,0.051,124.994,pop; Dance/Electronic
